,count,mean,std,min,25%,50%,75%,max
GPSSpeed_kn,43280.0,6.6,6.3108,0.0001,0.0146,7.0213,13.0808,17.2367
GPS_LAT,43280.0,56.3264,2.7959,51.2529,53.7273,55.5775,59.5474,60.4885
GPS_LON,43280.0,12.1304,9.7082,-0.256,1.4475,10.6853,21.5301,26.9719
Main_Engine_Power_kW,43280.0,1346.8076,1322.0137,-31.5,0.0,1035.0,2749.5,4072.4998
Speed_rpm,43280.0,372.5332,311.3336,0.0,0.0,517.0,656.0,728.0
Fuel_Consumption_t_per_day,43280.0,3.7212,5.189,0.0,0.0,0.0,9.6224,90.269
DRAFTAFT,43280.0,5829.1486,1596.2178,19.0,4093.9998,6616.0,7128.0005,8241.0
DRAFTFWD,43280.0,6850.1314,921.5404,-9999.0,6053.0,7116.0,7460.0,8207.0
Avg_draft_m,43280.0,6.3396,1.2244,-4.99,4.9585,6.92,7.247,8.216
Trim_m,43280.0,-1.021,0.8932,-5.138,-1.583,-0.663,-0.304,10.138
TrueWindSpeed_kn,43280.0,5.0481,3.1173,0.0,2.3971,4.4341,7.5771,14.6964
RelWindSpeed_kn,43280.0,7.6184,5.1065,0.0015,3.1661,6.4308,12.0304,20.656
